Serial No.,Chance of Admit ,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
1,0.92,337,118,4,4.5,4.5,9.65,1
2,0.76,324,107,4,4,4.5,8.87,1
3,0.72,316,104,3,3,3.5,8,1
4,0.8,322,110,3,3.5,2.5,8.67,1
5,0.65,314,103,2,2,3,8.21,0
6,0.9,330,115,5,4.5,3,9.34,1
7,0.75,321,109,3,3,4,8.2,1
8,0.68,308,101,2,3,4,7.9,0
9,0.5,302,102,1,2,1.5,8,0
10,0.45,323,108,3,3.5,3,8.6,0
11,0.52,325,106,3,3.5,4,8.4,1
12,0.84,327,111,4,4,4.5,9,1
13,0.78,328,112,4,4,4.5,9.1,1
14,0.62,307,109,3,4,3,8,1
15,0.61,311,104,3,3.5,2,8.2,1
16,0.54,314,105,3,3.5,2.5,8.3,0
17,0.66,317,107,3,4,3,8.7,0
18,0.65,319,106,3,4,3,8,1
19,0.63,318,110,3,4,3,8.8,0
20,0.62,303,102,3,3.5,3,8.5,0
21,0.64,312,107,3,3,2,7.9,1
22,0.7,325,114,4,3,2,8.4,0
23,0.94,328,116,5,5,5,9.5,1
24,0.95,334,119,5,5,4.5,9.7,1
25,0.97,336,119,5,4,3.5,9.8,1
26,0.94,340,120,5,4.5,4.5,9.6,1
27,0.76,322,109,5,4.5,3.5,8.8,0
28,0.44,298,98,2,1.5,2.5,7.5,1
29,0.46,295,93,1,2,2,7.2,0
30,0.54,310,99,2,1.5,2,7.3,0
31,0.65,300,97,2,3,3,8.1,1
32,0.74,327,103,3,4,4,8.3,1
33,0.91,338,118,4,3,4.5,9.4,1
34,0.9,340,114,5,4,4,9.6,1
35,0.94,331,112,5,4,5,9.8,1
36,0.88,320,110,5,5,5,9.2,1
37,0.64,299,106,2,4,4,8.4,0
38,0.58,300,105,1,1,2,7.8,0
39,0.52,304,105,1,3,1.5,7.5,0
40,0.48,307,108,2,4,3.5,7.7,0
41,0.46,308,110,3,3.5,3,8,1
42,0.49,316,105,2,2.5,2.5,8.2,1
43,0.53,313,107,2,2.5,2,8.5,1
44,0.87,332,117,4,4.5,4,9.1,0
45,0.91,326,113,5,4.5,4,9.4,1
46,0.88,322,110,5,5,4,9.1,1
47,0.86,329,114,5,4,5,9.3,1
48,0.89,339,119,5,4.5,4,9.7,0
49,0.82,321,110,3,3.5,5,8.85,1
50,0.78,327,111,4,3,4,8.4,1
51,0.76,313,98,3,2.5,4.5,8.3,1
52,0.56,312,100,2,1.5,3.5,7.9,1
53,0.78,334,116,4,4,3,8,1
54,0.72,324,112,4,4,2.5,8.1,1
55,0.7,322,110,3,3,3.5,8,0
56,0.64,320,103,3,3,3,7.7,0
57,0.64,316,102,3,2,3,7.4,0
58,0.46,298,99,2,4,2,7.6,0
59,0.36,300,99,1,3,2,6.8,1
60,0.42,311,104,2,2,2,8.3,0
61,0.48,309,100,2,3,3,8.1,0
62,0.47,307,101,3,4,3,8.2,0
63,0.54,304,105,2,3,3,8.2,1
64,0.56,315,107,2,4,3,8.5,1
65,0.52,325,111,3,3,3.5,8.7,0
66,0.55,325,112,4,3.5,3.5,8.92,0
67,0.61,327,114,3,3,3,9.02,0
68,0.57,316,107,2,3.5,3.5,8.64,1
69,0.68,318,109,3,3.5,4,9.22,1
70,0.78,328,115,4,4.5,4,9.16,1
71,0.94,332,118,5,5,5,9.64,1
72,0.96,336,112,5,5,5,9.76,1
73,0.93,321,111,5,5,5,9.45,1
74,0.84,314,108,4,4.5,4,9.04,1
75,0.74,314,106,3,3,5,8.9,0
76,0.72,329,114,2,2,4,8.56,1
77,0.74,327,112,3,3,3,8.72,1
78,0.64,301,99,2,3,2,8.22,0
79,0.44,296,95,2,3,2,7.54,1
80,0.46,294,93,1,1.5,2,7.36,0
81,0.5,312,105,3,2,3,8.02,1
82,0.96,340,120,4,5,5,9.5,1
83,0.92,320,110,5,5,4.5,9.22,1
84,0.92,322,115,5,4,4.5,9.36,1
85,0.94,340,115,5,4.5,4.5,9.45,1
86,0.76,319,103,4,4.5,3.5,8.66,0
87,0.72,315,106,3,4.5,3.5,8.42,0
88,0.66,317,107,2,3.5,3,8.28,0
89,0.64,314,108,3,4.5,3.5,8.14,0
90,0.74,316,109,4,4.5,3.5,8.76,1
91,0.64,318,106,2,4,4,7.92,1
92,0.38,299,97,3,5,3.5,7.66,0
93,0.34,298,98,2,4,3,8.03,0
94,0.44,301,97,2,3,3,7.88,1
95,0.36,303,99,3,2,2.5,7.66,0
96,0.42,304,100,4,1.5,2.5,7.84,0
97,0.48,306,100,2,3,3,8,0
98,0.86,331,120,3,4,4,8.96,1
99,0.9,332,119,4,5,4.5,9.24,1
100,0.79,323,113,3,4,4,8.88,1
101,0.71,322,107,3,3.5,3.5,8.46,1
102,0.64,312,105,2,2.5,3,8.12,0
103,0.62,314,106,2,4,3.5,8.25,0
104,0.57,317,104,2,4.5,4,8.47,0
105,0.74,326,112,3,3.5,3,9.05,1
106,0.69,316,110,3,4,4.5,8.78,1
107,0.87,329,111,4,4.5,4.5,9.18,1
108,0.91,338,117,4,3.5,4.5,9.46,1
109,0.93,331,116,5,5,5,9.38,1
